"Id","number_days","user_category"
1503960366,31,high usage
1624580081,31,high usage
1644430081,30,high usage
1844505072,31,high usage
1927972279,31,high usage
2022484408,31,high usage
2026352035,31,high usage
2320127002,31,high usage
2347167796,18,moderate usage
2873212765,31,high usage
3372868164,20,moderate usage
3977333714,30,high usage
4020332650,31,high usage
4057192912,4,low usage
4319703577,31,high usage
4388161847,31,high usage
4445114986,31,high usage
4558609924,31,high usage
4702921684,31,high usage
5553957443,31,high usage
5577150313,30,high usage
6117666160,28,high usage
6290855005,29,high usage
6775888955,26,high usage
6962181067,31,high usage
7007744171,26,high usage
7086361926,31,high usage
8053475328,31,high usage
8253242879,19,moderate usage
8378563200,31,high usage
8583815059,31,high usage
8792009665,29,high usage
8877689391,31,high usage
